name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"42.3572011,-71.0791449",2024-05-28,82.9,66,73.7,83.2,66,73.8,61.9,70.1,0.392,100,16.67,rain,0,0,29.5,18.8,232.9,1004.6,70.3,9.5,179.8,15.4,9,30,2024-05-28T05:12:02,2024-05-28T20:11:55,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-05-29,74.2,61.4,67.1,74.2,61.4,67.1,54.2,64.2,0,0,0,,0,0,17.2,13.2,295.2,1010.4,51.8,9.9,205.7,17.8,8,10,2024-05-29T05:11:28,2024-05-29T20:12:45,0.72,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-05-30,61.3,53,57.1,61.3,53,57.1,52.6,85.2,1.401,100,50,rain,0,0,28.6,17.8,15.3,1013.5,90.3,8.3,45.8,3.9,2,10,2024-05-30T05:10:56,2024-05-30T20:13:33,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-05-31,75.9,53.4,65.7,75.9,53.4,65.7,41.8,45.6,0,0,0,,0,0,27.4,15.8,312.9,1017.1,44.4,9.9,249.8,21.6,10,10,2024-05-31T05:10:25,2024-05-31T20:14:20,0.79,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-01,80.1,57.9,68.7,79,57.9,68.5,43.1,41.8,0,0,0,,0,0,24.2,10.7,296.9,1018.3,22.4,9.9,254.3,21.9,10,10,2024-06-01T05:09:57,2024-06-01T20:15:06,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-02,81.8,53.7,67.1,80,53.7,67.1,53.9,65,0,0,0,,0,0,15,14.9,141.9,1016.1,45.4,9.9,213.7,18.4,9,10,2024-06-02T05:09:31,2024-06-02T20:15:51,0.86,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-03,75.1,60.5,68.4,75.1,60.5,68.4,54.1,62.2,0,0,0,,0,0,18.6,13.6,57.6,1013.1,59.1,9.9,201.1,17.5,9,10,2024-06-03T05:09:07,2024-06-03T20:16:34,0.9,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-04,67,56.6,62.9,67,56.6,62.9,56.7,80.9,0,0,0,,0,0,13.9,12.4,93.8,1016.8,45.8,9.9,239.5,20.7,9,10,2024-06-04T05:08:45,2024-06-04T20:17:16,0.93,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-05,84.9,58.8,71.2,84.5,58.8,71.2,58.2,66,0,0,0,,0,0,26.9,15.6,219.1,1011.9,61.5,9.9,150.8,12.9,9,10,2024-06-05T05:08:25,2024-06-05T20:17:56,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-06,70.4,61.4,67.2,70.4,61.4,67.2,64.4,90.8,0.001,100,4.17,rain,0,0,15,16.4,115.2,1003.2,92.2,7.5,43,3.6,2,10,2024-06-06T05:08:07,2024-06-06T20:18:35,0,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-07,70.2,61.4,65.9,70.2,61.4,65.9,61.6,86.3,0.023,100,20.83,rain,0,0,17.2,15.2,69.7,1001.1,80.5,8.5,142.2,12.3,9,10,2024-06-07T05:07:51,2024-06-07T20:19:12,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-08,74.9,60.7,68,74.9,60.7,68,52.4,59,0.019,100,8.33,rain,0,0,33.3,22.3,269.5,1004.1,53.8,9.8,195,16.9,7,10,2024-06-08T05:07:38,2024-06-08T20:19:48,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-09,70.1,57.9,64.7,70.1,57.9,64.7,53.1,67,0.232,100,20.83,rain,0,0,24.2,14.3,261.4,1002.1,79.5,9.1,38.3,3.4,3,10,2024-06-09T05:07:26,2024-06-09T20:20:22,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-10,76.7,58.8,67.3,76.7,58.8,67.3,50.4,55.8,0,0,0,,0,0,29.8,19.1,262.3,1001.8,43.5,9.9,261.5,22.7,10,10,2024-06-10T05:07:17,2024-06-10T20:20:54,0.13,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-11,70.9,58.5,64.4,70.9,58.5,64.4,53.7,68.6,0,0,0,,0,0,11.4,11.5,292.6,1011.7,70.6,9.9,157.3,13.6,8,10,2024-06-11T05:07:09,2024-06-11T20:21:25,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-12,73.3,60,67.4,73.3,60,67.4,57.8,72.1,0,0,0,,0,0,9.2,14.2,109,1014.7,70,9.9,144.8,12.5,8,10,2024-06-12T05:07:04,2024-06-12T20:21:54,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-13,82.3,61.3,72.6,82.6,61.3,72.6,55.9,57,0,0,0,,0,0,21.9,14.8,225.7,1014.7,26.8,9.9,269.8,23.2,9,10,2024-06-13T05:07:01,2024-06-13T20:22:21,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-14,83.7,65.9,71.2,85.6,65.9,71.5,62.2,74,0.332,100,25,rain,0,0,39.7,17.7,211.7,1011.1,68.3,9.6,160.7,13.8,9,30,2024-06-14T05:07:00,2024-06-14T20:22:46,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-15,75.9,63.9,70.5,75.9,63.9,70.5,52.8,58.5,0.272,100,20.83,rain,0,0,27.7,17.5,326.7,1013.7,48.5,9.4,218,18.9,10,10,2024-06-15T05:07:01,2024-06-15T20:23:09,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-16,66.7,56,63.1,66.7,56,63.1,46,54.1,0,0,0,,0,0,12.8,13.3,90.3,1023.5,44.7,9.9,277.7,24.2,10,10,2024-06-16T05:07:04,2024-06-16T20:23:31,0.33,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-17,80.2,59.7,70.1,81.2,59.7,70.2,57.8,65.9,0,0,0,,0,0,24.7,16.8,200.5,1021.9,74.9,9.9,205,17.5,9,10,2024-06-17T05:07:09,2024-06-17T20:23:51,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-18,92.1,67.7,78.4,97.5,67.7,80.7,66.6,67.9,0,0,0,,0,0,20.8,14.2,197,1022,45.2,9.9,228.8,19.7,9,30,2024-06-18T05:07:16,2024-06-18T20:24:08,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-19,97.7,71,81.8,107.4,71,85.3,67.7,63.1,0,0,0,,0,0,29.8,16.4,220.9,1024.7,60.1,9.9,239.4,20.6,8,30,2024-06-19T05:07:25,2024-06-19T20:24:24,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-20,95.1,69.3,83.5,103.7,69.3,87.3,67.9,60.5,0.273,100,12.5,rain,0,0,44.7,16.4,242.3,1023,73.7,9.8,199.9,17.2,8,30,2024-06-20T05:07:36,2024-06-20T20:24:38,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-21,82.1,64.3,72.4,86.6,64.3,72.7,65.2,78.9,0.503,100,12.5,rain,0,0,23,15.7,51.7,1021.7,63.5,9.3,210.8,18.2,9,10,2024-06-21T05:07:50,2024-06-21T20:24:50,0.5,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-22,68.1,63,65.1,68.1,63,65.1,62.3,90.7,0.117,100,20.83,rain,0,0,9.2,12.3,54.4,1017.8,98.6,8.8,44.4,3.8,2,10,2024-06-22T05:08:05,2024-06-22T20:24:59,0.52,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-23,87.2,61.3,72.3,93.9,61.3,74,67.6,86.4,0.08,100,25,rain,0,0,33.1,19.2,186.4,1006.9,91.5,7,78.8,6.7,5,30,2024-06-23T05:08:21,2024-06-23T20:25:07,0.56,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-24,80.9,67,76.4,81.1,67,76.4,62.4,64.1,0.002,100,4.17,rain,0,0,32.4,19.8,258.4,999.8,78.6,9.7,172.8,15.1,9,10,2024-06-24T05:08:40,2024-06-24T20:25:13,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-25,89,65,77.3,86.8,65,76.6,56.7,53,0.072,100,4.17,rain,0,0,24,13.9,289.7,1008.1,52.4,9.8,258.3,22.3,10,10,2024-06-25T05:09:01,2024-06-25T20:25:16,0.63,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-26,89.8,70.1,79.1,92.5,70.1,80,62.4,57.8,1.608,100,20.83,rain,0,0,31.6,19.9,229.7,1006,79.2,9.4,227.5,19.5,9,30,2024-06-26T05:09:23,2024-06-26T20:25:17,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-27,84.5,66.1,74.1,83.4,66.1,74.1,60.4,66,0.332,100,25,rain,0,0,37.8,27.1,264.6,1005.8,66.3,9.7,184.4,16,9,10,2024-06-27T05:09:48,2024-06-27T20:25:17,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-28,72.1,59.4,65.9,72.1,59.4,65.9,45.3,48.3,0,0,0,,0,0,27.5,16.8,328.9,1018.9,20.2,9.9,275.6,23.9,10,10,2024-06-28T05:10:14,2024-06-28T20:25:14,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-29,73.3,61.9,67.7,73.3,61.9,67.7,56.5,67.8,0,0,0,,0,0,30.8,19.2,194.1,1021.8,91.8,9.9,60.3,5.2,4,10,2024-06-29T05:10:41,2024-06-29T20:25:09,0.77,Overcast,Cloudy skies throughout the day.,cloudy,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-06-30,86.1,73,77.6,94.4,73,79.6,71.5,82.1,0.025,100,12.5,rain,0,0,28.8,15.8,214.7,1011.2,87.7,9.9,138.5,11.8,7,60,2024-06-30T05:11:11,2024-06-30T20:25:02,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-07-01,75.4,64.8,72.1,75.4,64.8,72.1,60.5,67.4,0.144,100,16.67,rain,0,0,33.3,15.9,8.4,1014.3,62.5,9.6,165.3,14.3,10,10,2024-07-01T05:11:42,2024-07-01T20:24:53,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-07-02,77.6,64,71.6,77.6,64,71.6,52.5,51.6,0,0,0,,0,0,18.3,12.9,34,1022.6,25.4,9.8,257,22.2,10,10,2024-07-02T05:12:15,2024-07-02T20:24:41,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-07-03,80.1,65.9,73.1,80.5,65.9,73.1,55,53.9,0,0,0,,0,0,20.8,18.6,174.2,1021.4,48,9.8,266,22.9,9,10,2024-07-03T05:12:49,2024-07-03T20:24:28,0.92,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-07-04,84.5,64.8,73.8,87.9,64.8,74.5,63.7,71.4,0.001,100,4.17,rain,0,0,25.3,15.7,220.7,1013.8,74,9.8,135.5,11.9,8,10,2024-07-04T05:13:25,2024-07-04T20:24:12,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-07-05,82.5,70.2,75.1,89.3,70.2,76,71.1,87.7,0.385,100,12.5,rain,0,0,23,13.4,190.2,1010.3,94.6,8.5,83.2,7.2,5,30,2024-07-05T05:14:02,2024-07-05T20:23:54,0,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-07-06,80.1,74.2,76.4,84.8,74.2,76.6,72.8,88.8,0.004,100,8.33,rain,0,0,24.2,15.8,199.9,1010.8,98.4,9.7,44.4,3.9,2,30,2024-07-06T05:14:40,2024-07-06T20:23:34,0.02,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-07-07,87.1,73.2,77.8,90.8,73.2,78.8,70.1,78.2,0,0,0,,0,0,13.9,9.6,183.1,1014.4,74.8,9,102.9,9,9,30,2024-07-07T05:15:21,2024-07-07T20:23:12,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-07-08,83,69.3,77.4,85.9,69.3,78.1,67.3,71.9,0,0,0,,0,0,10.3,10,113.1,1016.1,57.6,9.8,253.5,21.9,10,30,2024-07-08T05:16:02,2024-07-08T20:22:48,0.09,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-07-09,88.3,73,80.7,97.3,73,83.9,71.5,74.3,0.002,100,8.33,rain,0,0,21.9,15.9,195.1,1013.8,77.5,9.9,146.1,12.4,7,30,2024-07-09T05:16:45,2024-07-09T20:22:21,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-07-10,89.3,74.9,80.4,101.9,74.9,84.2,73.1,79,0,0,0,,0,0,29.7,17.3,197.4,1011.4,79.3,9.4,167.8,14.5,9,30,2024-07-10T05:17:29,2024-07-10T20:21:53,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-07-11,89.1,76,80.7,95.3,76,82.9,71,73.5,0.002,100,8.33,rain,0,0,32.8,22.4,205.4,1011.9,73.4,9.9,152.5,13.2,9,10,2024-07-11T05:18:14,2024-07-11T20:21:22,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-07-12,87.1,70.9,78.9,91.8,70.9,80.9,69.9,75,0.03,100,8.33,rain,0,0,33.3,18.8,216.5,1020.2,55.8,9.7,150,13.1,8,30,2024-07-12T05:19:00,2024-07-12T20:20:50,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-07-13,82.3,74.2,77.4,88.5,74.2,78.5,72.8,85.8,0.316,100,29.17,rain,0,0,25.3,14.4,212.1,1019.7,76.3,9.5,45.6,4,2,30,2024-07-13T05:19:48,2024-07-13T20:20:15,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-07-14,83.9,72.8,78.4,85.4,72.8,79.2,68,72.1,0,0,0,,0,0,11.4,10.8,174.5,1015.2,40,9.7,171.5,15,8,10,2024-07-14T05:20:36,2024-07-14T20:19:38,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-07-15,93.7,72.8,80.8,100.3,72.8,83.2,70.1,71.4,0.039,100,8.33,rain,0,0,32.8,18.8,222,1010.5,62.1,9.8,197.1,17.1,9,30,2024-07-15T05:21:26,2024-07-15T20:18:59,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-07-16,93.8,74.1,83.1,97.4,74.1,85.2,69.5,66.5,0.014,100,8.33,rain,0,0,30.6,21.4,228.4,1007.2,59,9.3,228.1,19.6,9,30,2024-07-16T05:22:17,2024-07-16T20:18:19,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-07-17,89.2,75.4,82.1,95.6,75.4,84.4,68.3,63.6,0.007,100,8.33,rain,0,0,40.3,16.1,218.6,1009.2,68.6,9.9,119.2,10.4,6,30,2024-07-17T05:23:08,2024-07-17T20:17:36,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-07-18,88,71.2,79.2,88.2,71.2,79.6,65.2,65.3,0.243,100,12.5,rain,0,0,25.3,14.6,271.8,1010.2,83.8,9.7,116.4,10,8,10,2024-07-18T05:24:01,2024-07-18T20:16:51,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-07-19,78.5,66.3,72.6,78.5,66.3,72.6,56.5,57.4,0,0,0,,0,0,18.3,12.6,15.7,1017.4,31.8,9.9,241,21,10,10,2024-07-19T05:24:54,2024-07-19T20:16:05,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-07-20,85.9,66.4,77.2,84.7,66.4,76.9,59.1,56,0,0,0,,0,0,25.3,17.5,241.8,1017.7,63.3,9.9,166.5,14.5,7,10,2024-07-20T05:25:48,2024-07-20T20:15:16,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-07-21,87.9,69.3,74.9,86.8,69.3,74.9,62.4,66.4,0,0,0,,0,0,18.3,14.2,260.4,1015.6,73.6,9.9,226.9,19.7,9,10,2024-07-21T05:26:43,2024-07-21T20:14:26,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
