name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"42.3572011,-71.0791449",2024-08-01T10:00:00,85.7,90.1,69.5,58.36,0,0,,0,0,11.4,13.3,279,1012.6,45.2,9.9,549,2,5,30,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-01T11:00:00,87.2,91.7,69.4,55.69,0,0,,0,0,11.4,12.2,309,1012.8,45.2,9.9,648,2.3,6,30,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-01T12:00:00,87.4,92,69.4,55.3,0,0,,0,0,16.7,7.2,226,1012.3,48.9,9.9,628,2.3,6,30,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-01T13:00:00,91.1,94.6,67.1,45.56,0,0,,0,0,18.3,9.1,278,1011.9,51.8,9.9,642,2.3,6,30,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-01T14:00:00,93.6,97.5,67.1,42.04,0,0,,0,0,17.2,11.3,261,1011.6,52,9.9,451,1.6,5,10,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-01T15:00:00,92.9,95.5,65.4,40.59,0,0,,0,0,18.3,9.4,215,1011.1,48.9,9.9,121,0.4,1,10,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-01T16:00:00,93.7,96,64.8,38.69,0,0,,0,0,18.4,11.4,287,1010.7,46.5,9.9,106,0.4,1,10,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-01T17:00:00,92,95.5,66.9,43.86,0,0,,0,0,25.3,13.6,298,1010.7,45.2,9.9,39,0.1,0,10,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-01T18:00:00,91.9,93.8,64.6,40.6,0,0,,0,0,11.4,11.1,289,1010.7,45.2,9.9,29,0.1,0,10,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-01T19:00:00,89.9,92.1,65.4,44.5,0,0,,0,0,9.2,12.1,272,1011,24.2,9.9,18,0.1,0,10,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-01T20:00:00,87.8,90.3,66.2,48.97,0,0,,0,0,6.9,9.8,279,1011.5,24.2,9.9,0,0,0,10,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-01T21:00:00,86.1,88.6,66.3,51.75,0,0,,0,0,6.9,8.5,299,1011.8,24.2,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-01T22:00:00,83.2,85.5,66.3,56.96,0,0,,0,0,5.8,6.5,252,1012.4,24.2,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-01T23:00:00,83,85.7,67.1,58.73,0,0,,0,0,5.8,6.3,265,1012.4,24.2,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-02T00:00:00,81.1,83.6,67,62.39,0,0,,0,0,5.8,5.3,265,1012.7,24.2,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-02T01:00:00,79.2,79.2,68,68.64,0,0,,0,0,5.8,7.3,265,1012.7,24.2,9.8,0,0,0,10,Partially cloudy,partly-cloudy-night,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-02T02:00:00,79.2,79.2,68,68.54,0,0,,0,0,5.8,7.3,284,1012.6,24.2,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-02T03:00:00,78.2,78.2,68,70.95,0,0,,0,0,5.8,6.3,274,1012.4,24.2,9.6,0,0,0,3,Partially cloudy,partly-cloudy-night,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-02T04:00:00,77.4,77.4,68,73.03,0,0,,0,0,5.8,6.3,274,1012.1,24.2,9.4,0,0,0,3,Partially cloudy,partly-cloudy-night,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-02T05:00:00,77.7,77.7,66.8,69.32,0,0,,0,0,4.7,3.2,292,1012.1,26.1,9.7,0,0,0,3,Partially cloudy,partly-cloudy-night,"KOWD,AV085,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-02T06:00:00,77.5,77.5,67.9,72.49,0,0,,0,0,4.7,3.1,263,1012.6,24.8,9.4,11,0,0,3,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-02T07:00:00,78.3,78.3,68.1,71.01,0,0,,0,0,3.4,0,0,1012.8,45.2,9.6,79,0.3,1,10,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-02T08:00:00,81.7,85.2,69.4,66.42,0,0,,0,0,3.4,3,350,1013,45.2,9.9,281,1,3,3,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-02T09:00:00,80.4,83.5,69.4,69.34,0,0,,0,0,4.7,4.4,110,1013.1,80.2,9.8,484,1.7,5,10,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-02T10:00:00,82.7,86.4,69.5,64.47,0,0,,0,0,4.7,6.3,124,1013,80.2,9.8,606,2.2,6,10,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-02T11:00:00,82.9,86.6,69.3,63.58,0,0,,0,0,5.8,8.5,127,1012.9,45.2,9.8,717,2.6,7,10,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-02T12:00:00,85.4,89.5,69.2,58.46,0,0,,0,0,6.9,7.7,119,1012.7,80.2,9.8,358,1.3,4,10,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-02T13:00:00,85.5,89.6,69.2,58.41,0,0,,0,0,8.1,11.1,111,1012.2,47.9,9.8,522,1.9,5,10,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-02T14:00:00,86.7,91.2,69.4,56.34,0,0,,0,0,11.4,10.9,109,1011.9,81.5,9.8,188,0.7,2,10,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-02T15:00:00,86.7,91.1,69.4,56.54,0,0,,0,0,11.4,13,111,1011.4,81.5,9.9,133,0.5,1,10,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-02T16:00:00,80.8,84,69.3,68.13,0.01,100,rain,0,0,11.4,9,85,1011,87,9.8,66,0.2,1,10,"Rain, Partially cloudy",rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-02T17:00:00,79.1,79.1,71.5,77.63,0.533,100,rain,0,0,19.7,4.4,171,1011.2,44,9.9,50,0.2,1,10,"Rain, Partially cloudy",rain,"KOWD,AV085,72509854704,KBED,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-02T18:00:00,80,83.6,71.4,75.05,0.001,100,rain,0,0,11.4,5.6,351,1011.5,96.4,9.9,26,0.1,0,10,"Rain, Overcast",rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-02T19:00:00,79.1,79.1,71.9,78.81,0.136,100,rain,0,0,10.3,7.7,308,1011.3,95.9,9.9,34,0.1,0,10,"Rain, Overcast",rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-02T20:00:00,78.1,78.1,71.1,79.14,0,0,,0,0,9.2,3.2,275,1011.4,90.5,9.9,0,0,0,30,Overcast,cloudy,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-02T21:00:00,78,78,71.3,79.89,0,0,,0,0,8.1,4.2,171,1011.7,90.5,9.9,0,0,0,8,Overcast,cloudy,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-02T22:00:00,74.1,74.1,70.3,88.04,0,0,,0,0,8.1,5.3,162,1011.5,90.5,9.9,0,0,0,30,Overcast,cloudy,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-02T23:00:00,74.9,74.9,69.6,83.58,0,0,,0,0,9.2,5.4,167,1011.2,90.5,9.8,0,0,0,8,Overcast,cloudy,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-03T00:00:00,74.2,74.2,71.4,90.99,0,0,,0,0,8.1,6.5,174,1011.1,96.7,9.8,0,0,0,30,Overcast,cloudy,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-03T01:00:00,77,77,75,93.57,0.001,100,rain,0,0,8.1,7.7,204,1010.7,97.7,9.7,0,0,0,30,"Rain, Overcast",rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-03T02:00:00,75.1,75.1,74.1,96.99,0,0,,0,0,9.2,3.3,156,1009.8,95.9,8.1,0,0,0,30,Overcast,cloudy,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-03T03:00:00,74.3,74.3,73.4,96.86,0,0,,0,0,9.2,5.6,120,1008.9,100,7,0,0,0,30,Overcast,cloudy,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-03T04:00:00,75.1,75.1,74.2,97.02,0,0,,0,0,9.2,4.7,255,1008.6,100,6.4,0,0,0,30,Overcast,cloudy,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-03T05:00:00,77.1,77.1,75.9,96.02,0,0,,0,0,9.2,6.8,189,1008.2,97.7,7,0,0,0,30,Overcast,cloudy,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-03T06:00:00,77.1,77.1,75.9,96.33,0,0,,0,0,10.3,5.8,200,1008.5,87.8,6.9,3,0,0,30,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-03T07:00:00,79.1,79.1,75.9,90.07,0,0,,0,0,10.3,9.9,210,1008.8,86,9.9,67,0.2,1,30,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-03T08:00:00,81.1,87,75,81.97,0,0,,0,0,11.4,12.5,230,1008.7,87.3,9.9,191,0.7,2,30,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-03T09:00:00,82.9,89,73.3,72.83,0,0,,0,0,11.4,11.2,233,1008.6,53.7,9.9,556,2,6,30,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-03T10:00:00,84.7,91.5,73.2,68.44,0,0,,0,0,12.8,10.1,242,1008.4,86.8,9.9,369,1.3,4,30,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-03T11:00:00,86,91.8,71.4,61.94,0,0,,0,0,16.1,12.5,241,1008.2,51.8,9.9,830,3,8,30,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-03T12:00:00,89,95.3,71.2,55.94,0,0,,0,0,24.6,12.5,259,1008.4,50.6,9.9,607,2.2,6,30,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-03T13:00:00,90.1,95.2,69.5,50.86,0,0,,0,0,26,13.9,241,1008.1,48.9,9.9,750,2.7,8,30,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-03T14:00:00,90.9,96,69.4,49.45,0,0,,0,0,18.3,13.8,252,1008.1,53.7,9.9,325,1.2,3,30,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-03T15:00:00,90.9,96.2,69.5,49.61,0,0,,0,0,21.4,12.9,254,1008.1,86.8,9.9,138,0.5,1,30,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-03T16:00:00,89.2,96.3,72,57.15,0,0,,0,0,18.5,7.2,20,1008.1,82.8,9.9,36,0.1,0,30,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-03T17:00:00,78.3,78.3,71.2,78.89,0,0,,0,0,20.8,11.4,54,1007.8,82.9,9.9,61,0.2,1,30,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-03T18:00:00,76.2,76.2,70.2,81.82,0,0,,0,0,19.7,7.1,162,1008.4,80.2,9.9,15,0.1,0,30,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-03T19:00:00,77.9,77.9,71.1,79.77,0,0,,0,0,12.8,3.5,72,1008.5,80.2,9.9,9,0,0,30,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-03T20:00:00,76.6,76.6,70.4,81.29,0,0,,0,0,11.4,5.7,48,1008.8,80.2,9.9,0,0,0,30,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-03T21:00:00,80.2,83.8,71.3,74.43,0,0,,0,0,11.4,0.3,349,1009.4,80.2,9.9,0,0,0,30,Partially cloudy,partly-cloudy-night,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-03T22:00:00,80.2,84.1,72,76.27,0,0,,0,0,10.3,6.8,195,1009.8,88.7,9.9,0,0,0,8,Partially cloudy,partly-cloudy-night,"KOWD,AV085,72509854704,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-03T23:00:00,81.8,86.2,71.1,70.05,0,0,,0,0,9.2,8.9,229,1010.3,93,9.9,0,0,0,10,Overcast,cloudy,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-04T00:00:00,79.9,79.9,70.3,72.35,0,0,,0,0,8.1,8.5,223,1010.4,94.1,9.9,0,0,0,3,Overcast,cloudy,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-04T01:00:00,77.9,77.9,69.5,75.19,0,0,,0,0,10.3,7.7,207,1010.1,90.5,9.9,0,0,0,5,Overcast,cloudy,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-04T02:00:00,77.9,77.9,69.5,75.29,0,0,,0,0,9.2,8.7,218,1010.2,93.1,9.9,0,0,0,10,Overcast,cloudy,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-04T03:00:00,75.7,75.7,69.4,80.59,0,0,,0,0,9.2,8.7,217,1009.9,90.5,9.9,0,0,0,3,Overcast,cloudy,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-04T04:00:00,75,75,69.3,82.57,0,0,,0,0,10.3,8.9,209,1010.2,95,9.9,0,0,0,3,Overcast,cloudy,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-04T05:00:00,75.8,75.8,70.1,82.43,0,0,,0,0,13.9,10,229,1010.3,90.5,9.9,0,0,0,3,Overcast,cloudy,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-04T06:00:00,74.9,74.9,70.1,85.02,0,0,,0,0,16.1,13.1,230,1010.8,83.9,9.9,10,0,0,3,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-04T07:00:00,74.9,74.9,70.2,85.13,0,0,,0,0,13.9,10.8,220,1011.2,82.9,9.9,20,0.1,0,10,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-04T08:00:00,75.8,75.8,70.2,82.86,0,0,,0,0,15,9.9,238,1011.5,83.9,9.9,42,0.2,0,3,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-04T09:00:00,78.3,78.3,70.3,76.5,0,0,,0,0,15,12.4,240,1011.3,82.5,9.9,260,0.9,3,10,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-04T10:00:00,80.2,83.9,71.2,73.99,0,0,,0,0,20.8,12.4,239,1011.8,87,9.9,379,1.4,4,10,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-04T11:00:00,82.4,86.4,70.3,67.01,0,0,,0,0,23,14.7,242,1011.9,75.8,9.9,232,0.8,2,30,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-04T12:00:00,84.1,88.6,70.3,63.41,0,0,,0,0,20.8,12.6,241,1011.6,75.8,9.9,663,2.4,7,30,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-04T13:00:00,86,91.7,71.2,61.35,0,0,,0,0,25.8,17.8,213,1010.9,74.9,9.9,668,2.4,7,30,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-04T14:00:00,86,91,70.3,59.48,0,0,,0,0,25.8,17.5,232,1011.1,89.3,9.9,297,1.1,3,30,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-04T15:00:00,86.5,91.6,70.3,58.72,0.001,100,rain,0,0,29.9,13.7,245,1010.7,87.3,9.9,131,0.5,1,30,"Rain, Partially cloudy",rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-04T16:00:00,72.7,72.7,69.4,89.51,0.101,100,rain,0,0,31.1,6.1,325,1012.1,97.4,1.7,21,0.1,0,30,"Rain, Overcast",rain,"KOWD,AV085,72509854704,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-04T17:00:00,73.2,73.2,69.3,87.6,0.184,100,rain,0,0,15,4.6,311,1011.5,97.7,2.6,18,0.1,0,3,"Rain, Overcast",rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-04T18:00:00,73.3,73.3,71.2,93.14,0.053,100,rain,0,0,11.4,3.3,230,1011.4,94.9,9.6,33,0.1,0,10,"Rain, Overcast",rain,"KOWD,AV085,72509854704,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-04T19:00:00,73.3,73.3,70.3,90.42,0.001,100,rain,0,0,9.2,0.3,340,1011.8,78.4,9.6,0,0,0,10,"Rain, Partially cloudy",rain,"KOWD,AV085,72509854704,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-04T20:00:00,72.2,72.2,70.3,93.7,0.007,100,rain,0,0,8.1,6.6,227,1012.3,94.5,9.6,0,0,0,10,"Rain, Overcast",rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-04T21:00:00,74,74,71.2,91.14,0.01,100,rain,0,0,9.2,6.6,222,1012.9,80.2,9.7,0,0,0,3,"Rain, Partially cloudy",rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-04T22:00:00,73.9,73.9,71.1,90.82,0,0,,0,0,12.8,10.8,231,1013,80.2,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-04T23:00:00,73.9,73.9,71,90.94,0,0,,0,0,12.8,6.7,219,1013.6,80.2,9.9,0,0,0,3,Partially cloudy,partly-cloudy-night,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-05T00:00:00,73.9,73.9,70.1,87.88,0,0,,0,0,12.8,8.7,300,1014.5,95,9.9,0,0,0,5,Overcast,cloudy,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-05T01:00:00,73,73,70,90.49,0,0,,0,0,13.9,5.5,216,1013.7,94.2,9.9,0,0,0,5,Overcast,cloudy,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-05T02:00:00,72.8,72.8,69.9,90.6,0,0,,0,0,11.4,7.3,265,1013.3,80.2,9.9,0,0,0,3,Partially cloudy,partly-cloudy-night,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-05T03:00:00,72.8,72.8,69.9,90.88,0,0,,0,0,8.1,8.4,253,1013,80.2,9.9,0,0,0,3,Partially cloudy,partly-cloudy-night,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-05T04:00:00,71.7,71.7,69.1,91.35,0,0,,0,0,9.2,4.2,274,1013.1,80.2,9.9,0,0,0,3,Partially cloudy,partly-cloudy-night,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-05T05:00:00,71.6,71.6,68.9,91.34,0,0,,0,0,9.2,7.4,271,1013.5,80.2,9.6,0,0,0,3,Partially cloudy,partly-cloudy-night,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-05T06:00:00,71.6,71.6,68.9,91.37,0,0,,0,0,9.2,5.4,263,1013.9,28,9.2,9,0,0,3,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBOS,72509014739,72505914702"
